Location_name,Item_type,x,y,z,Friendly Name,Description,Map View,Location Name,Region,Notes,Accesibility (Vanilla/First),Alternatives,"Ideas, Communication"
BuyTranslocator_7,FoundItem,42324.77344,3745.630615,1429.600464,Translocator,BuyTranslocator_C,SupraMap,Translocator,Green_Crystal,,Forcebeam & ForceCube & ProgGun & Translocator,,
BuyTripleJump2,ShopItem,20299.13281,17041.91016,802.3577271,Triple Jump,BuyTripleJump_C,SupraMap,Shop,Blueville,15 coins,,,
BuyTripleJump_877,ShopItem,55.43764877,-33882.11328,-208.8920898,Triple Jump,BuyTripleJump_C,SupraMap,Shop - Barrel with Double Jump,Redville,30 Coins,HeightIncrease,"HeightIncrease2, BuyForceCube_C",
BuyUpgradeChestNum,ShopItem,-37,-34014,-209,See Chest Count,BuyUpgradeChestNum_C,SupraMap,Shop - Credits,Redville,337 coins,Event:MeatBag,,
BuyWalletx15,ShopItem,-23135.16992,-11426.93555,-1728.223755,Max Coins x1.5,BuyWalletx15_C,SupraMap,Shop - Standard,After_Chapel1,15 coins,Prog:WalletIncrease,,
BuyWalletx16,ShopItem,-322.3926697,2225.852295,181.4510345,Max Coins x1.5,BuyWalletx15_C,SupraMap,Shop - Standard,Farm,15 coins,,,
BuyWalletx17_426,ShopItem,-67194.85938,52723.30078,1071.16626,Max Coins x1.5,BuyWalletx15_C,SupraMap,Shop - Standard,Carrot_Town,55 coins,Prog:WalletIncrease,,
BuyWallet+50_737,ShopItem,201.7998505,-33628.92969,-208.8920898,Max Coins x2,BuyWalletx2_C,SupraMap,Shop - Standard,Redville,24 Coins,,,
BuyWallet+51,ShopItem,274.3274536,-33561.32031,-203.6505127,Max Coins x2,BuyWalletx2_C,SupraMap,Shop - Credits,Redville,10 coins,Event:MeatBag,,
BuyWalletx2_986,FoundItem,22532.78516,-17035.39648,1523.286987,Max Coins x2,BuyWalletx2_C,SupraMap,Way to Red Crystal,Desert2,needs door removed if entrance_rando,HeightIncrease2,HeightIncrease4 & Belt,
Chest100_2221,ChestItem,-17795.33203,39146.71484,392.9671021,Stomp Radius +50cm,BuySmashdownRadius+_C,SupraMap,below supraballers house,Before_Purple,,Strong,,
Chest101_2025,ChestItem,-15900.5791,43893.93359,2372.73999,Combo Damage +25,BuyGunComboDamage+25_C,SupraMap,on top of wooden structure,Before_Purple,,ForceBeam,,
Chest102_2567,ChestItem,-64200.48828,63076.57031,1378.385986,Combo Damage +25,BuyGunComboDamage+25_C,SupraMap,behind high cracked block,Carrot_Town,,ForceBeam,,
Chest103_3711,ChestItem,-12871.30664,-5707.308594,1128.059082,Gun damage +1,BuyGunDamage+1_C,SupraMap,next to yellow pipe,Before_Chapel,,(BuyBelt_C & HeightIncrease3) or (After_Chapel2 & ProgGun3 & HeightIncrease8 & BuyForceCube_C),,
Chest104_6073,ChestItem,-34467.23047,-17135.99805,1577.42395,Gun damage +1,BuyGunDamage+1_C,SupraMap,on high stone shelf,After_Chapel4,,HeightIncrease4 and BuyFoceCube_3 and ProgForceBeam3,,
Chest105_6706,ChestItem,-18221.79492,-16791.98242,1215.118896,Gun damage +1,BuyGunDamage+1_C,SupraMap,chest on high stone ledge,Before_Chapel,,After_Chapel1 & BuyBelt_C & Prog:ForceBeam & HeightIncrease4,,
Chest106_8060,ChestItem,-65869.32031,-37686.99219,3493.421875,Gun damage +1,BuyGunDamage+1_C,SupraMap,High ledge next to Crystal,Blue_Crystal_After_Gate,,BuyBelt_C & HeightIncrease8,,
Chest107_9218,ChestItem,-2740.546875,-27832.70313,7813.555176,Combo Damage +25,BuyGunComboDamage+25_C,SupraMap,on stone peak,After_Chapel2,,HeightIncrease8 & BuyForceCube_C & Prog:ForceBeam3,,
Chest108_10670,ChestItem,12744.00879,-23492.60547,567.9069214,Max Health +5,BuyHealth+5_C,SupraMap,next to twigs at door,Desert2,,ForceBeam & Translocator,,
Chest109,ChestItem,-2867.938721,-38824.625,382.105896,Combo Damage +25,BuyGunComboDamage+25_C,SupraMap,beneath heavy block,Redville,,Strong,,
Chest10_1082,CoinItem,-4040,4425,-1315,Coin Chest,Coin:Chest_C,SupraMap,in star cave,Farm,,23 stars,,
Chest110,ChestItem,-44251.36328,51285.05078,2376.92041,Sword Damage +1,BuySwordDamage+1_C,SupraMap,behind yellow ball jump,Purple_Crystal,,ForceBeam,,
Chest111_3,ChestItem,-54718.44922,-33359.74609,4186.799805,Sword Damage +1,BuySwordDamage+1_C,SupraMap,High ledge next to crystal,Blue_Crystal_After_Gate,,BuyBelt_C & HeightIncrease8,,
Chest112,ChestItem,525.3222656,-39082.74609,-182.0023804,Max Health +5,BuyHealth+5_C,SupraMap,behind breakable block,Redville,,80 stars or Strong,,
Chest113,ChestItem,2568.156738,-26443.37305,-53.84731293,Sword Damage +3,BuySwordDamage+3_C,SupraMap,Behind Carrot,Desert1,Need any purple carriable item (Forcecube or Force Beam + Blaster),BuyBelt_C or HeightIncrease3 or HeightIncrease2+2xGravesSword and see notes,,How can HeightIncrease4 be enough for the check? There are no purple objects in Redville or Desert 1/2. removed that one
Chest114,CoinItem,25784.55273,34034.94141,1173,Coin Chest,Coin:Chest_C,SupraMap,beneath Castle,Blueville,gives back stolen coins,ProgGun & Forcecube & Forcebeam2,,
Chest115_4,CoinItem,-62130.93359,38830.87109,1676.816772,Coin Chest,Coin:Chest_C,SupraMap,behind blue pickaxe door,Carrot_Field,,Belt & ForceBeam & HeightIncrease4 & ProgGun,,
Chest116,ChestItem,-15185.25293,-43593.78906,1723.478271,Gun damage +5,BuyGunDamage+5_C,SupraMap,on top of tree stump,Suprafield,,HeightIncrease10,,
Chest117_2,ChestItem,19598,19336,779,Max Health +2,BuyHealth+2_C,SupraMap,behind cracked block,Blueville,,Strong & Sword,,
Chest118_2,ChestItem,51670.09375,7147.971191,3556.567627,Gun damage +5,BuyGunDamage+5_C,SupraMap,behind waterfall,Green_Crystal,,Forcebeam & ForceCube & ProgGun,,
Chest119_2,ChestItem,44702.30859,-19590.26758,-587.1028442,Force Beam/Cube Compatibility,BuyForceCubeBeam_C,SupraMap,Gold Nugget House,Lavafield,,ForceBeam & Strong,ForceBeam3 & ForceCube,
Chest11_13130,ChestItem,632.2237549,-34133.49609,-388.4318542,Enemy Health,BuyNumberRising_C,SupraMap,House with Green Button,Redville,,BuySpeedx2_C,BuyTranslocator_C,
Chest120_2,ChestItem,35871.41016,-13930.87695,2466.50293,Max Health +5,BuyHealth+5_C,SupraMap,on Ledge,Lavafield,,ForceBeam3,,
Chest121_2,ChestItem,39585.82813,10624.03125,3090.688721,Damage x2,BuyTranslocatorDamagex3_C,SupraMap,next to firepipe,Green_Crystal,,Translocator ,,
Chest122_2,ChestItem,51301.27344,15619.44238,3129.594971,Shot Force x2,BuyTranslocatorShotForce_C,SupraMap,in blockhouse,After_Green,,Translocator & Forcebeam & Forcecube & Gun,,
Chest123_5,ChestItem,51140.76563,12290.25781,6159.917969,Combo Damage +25,BuyGunComboDamage+25_C,SupraMap,on top of blockhouse,After_Green,,HeightIncrease10,,
Chest124_8,ChestItem,40305.86719,2748.135254,3414.068115,Half Cooldown,BuyTranslocatorCoolDownHalf_C,SupraMap,in paper hut,Green_Crystal,,Forcebeam & ForceCube & ProgGun & Translocator,,
Chest125_2,ChestItem,38553.40625,16012.36328,3101.882324,Damage x2,BuyTranslocatorDamagex3_C,SupraMap,in blue house,After_Green,,Translocator2,,
Chest126,ChestItem,-7045.003418,20044.03906,625.2646484,Max Health +5,BuyHealth+5_C,SupraMap,inside small hut,After_Rattlehag,,BuyBelt_C & RedPlankItems & ProgGun,,
Chest127_2,CoinItem,-51927.90625,35519.03125,3319.460205,Coin Chest,Coin:Chest_C,SupraMap,on top of roof,Carrot_Town,,Before_Purple & ForceBeam & Translocator,,
Chest128,CoinItem,-48130.70703,32970.49609,3082.763428,Coin Chest,Coin:Chest_C,SupraMap,on stone shelf,Carrot_Town,,ForceBeam & HeightIncrease12,,
Chest129_6,CoinItem,-41244.49219,51090.31641,1406.189819,Coin Chest,Coin:Chest_C,SupraMap,near exit,Carrot_Town,,ForceBeam,,
Chest12_686,ChestItem,11393.25488,-24524.42188,-593.3642578,Health Regeneration +5,BuyHealthRegenMax5_C,SupraMap,Chest behind Cube Door,Desert1,,BuyForceBlock_C,BuyTranslocator_C,
Chest130,ChestItem,23898.38281,25215.56055,1316.661987,Gun Altfire Damage x2,BuyGunAltDamagex2_C,SupraMap,attic of laser house,Blueville,,Translocator & HeightIncrease5 & Forcecube,,
Chest131,CoinItem,11597.55371,23021.51953,7051.5625,Coin Chest,Coin:Chest_C,SupraMap,on arch ,Rattlehag,,Event:Rattlehag & Translocator & HeightIncrease8,,
Chest132,CoinItem,9440.511719,13356.60742,1041.968506,Coin Chest,Coin:Chest_C,SupraMap,in structure,Rattlehag,,BuyBelt_C and RedPlankItems,,
Chest133,ChestItem,53784.45703,9021.771484,5603.29834,Gun damage +5,BuyGunDamage+5_C,SupraMap,on top of blockhouse behind paper,After_Green,,HeightIncrease10 & Gun,,
Chest134_13,ChestItem,28638.16602,-37658.64063,3881.481445,Sword Damage +1,BuySwordDamage+1_C,SupraMap,Cactus Jumps on hill,Red Crystal,,Chest60_2151,,
Chest135,ChestItem,-28214.5293,-41590.07813,-284.9319458,Combo Damage +25,BuyGunComboDamage+25_C,SupraMap,2nd floor lockerrroom,Behind_Suprafield,,ProgGun & HeightIncrease4,,
Chest136_3,ChestItem,20784.2207,-26357.95898,200.5570221,Green Moon,MoonTake_C,SupraMap,bricked house,Red_Crystal,Green Moon,BuyTranslocator_C,,
Chest137,ChestItem,21744.97266,-32352.04688,-49.86250305,Green Moon,MoonTake_C,SupraMap, behind glass,Red_Crystal,Green Moon,Chest75 & BuyTranslocator_C,,
Chest138_5,ChestItem,13519.48926,-11139.91309,-605.7159424,Gun damage +5,BuyGunDamage+5_C,SupraMap,through small pipe,Desert2,,BuyTranslocator_C,,
Chest139,ChestItem,8227.360352,30531.19531,4123.068359,Critical Damage Chance +5%,BuySwordCriticalDamageChance_C,SupraMap,on sword,Rattlehag,,ForceBeam,,
Chest13_410,ChestItem,3358.921631,-26135.19922,861.9844971,Sword Damage +2,BuySwordDamage+02_C,SupraMap,Chest halfway on structure,Desert1,,HeightIncrease,BuyBelt_C,
Chest140,CoinItem,8059.476563,29965.5,6777.46582,Coin Chest,Coin:Chest_C,SupraMap,on sword,Rattlehag,,ForceBeam & Translocator & TranslocatorForceShot,,
Chest141_3,CoinItem,-7380.970703,-39476.51172,2009.137695,Coin Chest,Coin:Chest_C,SupraMap,in pan,Suprafield,,Translocator & Belt ,,
Chest142,ChestItem,-8026.847656,-39472.44531,1903.209839,Max Coins x1.5,BuyWalletx15_C,SupraMap,in pan,Suprafield,,Translocator & Belt,,
Chest143,ChestItem,-32797.25781,4337.058594,812.633606,Gun Splash Damage,BuyGunSplashDamage_C,SupraMap,after harddrive,After_Chapel1,,Belt & Gun,,
Chest144,ChestItem,-47968.08984,-47494.66016,-58.14438629,Sword Damage +1,BuySwordDamage+1_C,SupraMap,Behind door in attic,Blue_Crystal_Inside,,BuyBelt_C or (HeightIncrease3 and BuyForceCube_C and ProgGun),,
Chest145_2,ChestItem,-60588.03906,-41458.19922,-1552.319336,Float Buckle,BuyBelt_C,SupraMap,Float Buckle,Blue_Crystal_Inside,,BuyBelt_C or (BuyForceCube_C and ProgGun and HeightIncrease4),,
Chest146_2,ChestItem,46495.74609,-22843.66406,4484.392578,Red Moon,BuyCrystal_C,SupraMap,on top of hut,Lavafield,Red Moon,ForceBeam3 & BuyForceCube_C & HeightIncrease4 and (BuyBuckle_C or Green_Crystal),,
Chest147_2,ChestItem,-8199.774414,3320.883545,-1356.409302,Red Moon,BuyCrystal_C,SupraMap,behind metal strips,Farm,red moon,ProgGun2 & MetalStripDamage,,
Chest148_5,ChestItem,-26360.19531,-40128.23438,-1103.999512,Combo Damage +25,BuyGunComboDamage+25_C,SupraMap,behind metal strips,Suprafield,,ProgGun2 & MetalStripDamage,,
Chest149,ChestItem,367.0957642,-35729.84766,-151.6134949,Holy Gun,BuyGunHoly2_C,SupraMap,behind metal strips,Redville,For stone graves,ProgGun2 & MetalStripDamage,,
Chest14_1121,ChestItem,23463.63086,-28263.45703,5183.943359,Mighty MacGuffin,BuyGun1_C,SupraMap,Gun chest,Red_Crystal,,Coin225,,
Chest150,ChestItem,30125.0293,30090.17188,784.2453003,Health Regeneration +5,BuyHealthRegenMax5_C,SupraMap,house behind gate,Blueville,,Forcecube & ((Strong & Sword) or Forcebeam),,
Chest151_3,ChestItem,38657.26953,-39268,5562.184082,Health Regeneration +5,BuyHealthRegenMax5_C,SupraMap,high ledge in corner,Red_Crystal,,HeightIncrease8 & BuyBelt_C,,
Chest152_6,ChestItem,86401.99219,28272.69336,11015.41016,Health Regeneration +5,BuyHealthRegenMax5_C,SupraMap,high on shelf,Boss_Arena,,HeightIncrease12,,
Chest153_9,CoinItem,64640.875,-20062.63477,12941.91699,Coin Chest,Coin:Chest_C,SupraMap,in pan,Boss_Arena,,Belt & Event:MeatBag,,
Chest154,ChestItem,4125,7326,2724,Health Regeneration +5,BuyHealthRegenMax5_C,SupraMap,on stone shelf,Farm,,ForceBeam & HeightIncrease8,,
Chest155_2,ChestItem,1933,-47807,2225,Stomp Radius +50cm,BuySmashdownRadius+_C,SupraMap,Chest on ledge near firepipe,Redville,,HeightIncrease6,,
Chest156_2,ChestItem,-39268.80078,-46182.67578,2034.147339,Silent feet,BuySilentFeet_C,SupraMap,on top of pipe,Blue_Crystal_Before_Gate,,BuyBelt_C,,
Chest157,ChestItem,-8534.436523,-59401.32813,1102,Grave Detector,BuyGraveDetector_C,SupraMap,behind combat challenge,Redville,,Gun & ManyCombatItems,,
Chest158,ChestItem,16598.02734,75514.5,3609.283691,See Grave Count,BuyUpgradeGraveNum_C,SupraMap,behind water,Behind_Blueville,,ForceBeam,,
Chest159_6,ChestItem,-44223.92188,19500.9375,1000.969299,Volcano Sealer,BuyForceCubeStompGrave3_C,SupraMap,Volcano Stomp,Under_Cactus,,ForceCube2 & ProgBeam & Gun & Translocator,,
Chest15_2768,CoinItem,16194.02539,-24497.41602,1666.862061,Coin Chest,Coin:Chest_C,SupraMap,hidden alcove,Red_Crystal,,ForceBeam1 or (Strong & HeightIncrease4),,
Chest160,ChestItem,86925.63281,-5777.710449,5673.551758,Gun Altfire Damage x2,BuyGunAltDamagex2_C,SupraMap,back of arena,Before_Boss,,,,
Chest161_2,ChestItem,42711.47266,27414.28125,1831.260376,More Loot,BuyMoreLoot_C,SupraMap,in blue house,Before_Boss,,Translocator & HeightIncrease5,,
Chest162,ChestItem,1377.625244,-38565.91797,1643.745239,Max Coins x1.5,BuyWalletx15_C,SupraMap,Chest in cardboard,Redville,,"HeightIncrease4, BuyGun1_C (BuyBelt_C, BuyTranslocator_C) or ()",,
Chest163,ChestItem,9469.795898,1173.688843,851.7468262,Health Regeneration +5,BuyHealthRegenMax5_C,SupraMap,behind blocks,Farm,,Strong & (BuyBelt_C or HeightIncrease8),,
Chest164,ChestItem,22977.73438,-29163.38672,-687.1444702,Health Regeneration +5,BuyHealthRegenMax5_C,SupraMap,Beneath glass ,Red Crystal,,HeightIncrease3 & Strong & Stomp,,
Chest165,ChestItem,-5570.211914,51178.85156,656.7651978,Health Regeneration +5,BuyHealthRegenMax5_C,SupraMap,hidden chest behind ravine,Before_Purple,,ProgGun & HeightIncrease8 & ForceBeam,,
Chest166,ChestItem,-25940.03516,45188.14063,242.1920471,Health Regeneration +5,BuyHealthRegenMax5_C,SupraMap,next to girders,Before_Purple,,,,
Chest167,ChestItem,-5064.72998,34155.14063,2749.980713,Health Regeneration +5,BuyHealthRegenMax5_C,SupraMap,on shelf in corner,After_Rattlehag,,BuyBelt_C,,
Chest168,ChestItem,64139.89063,-20231.43555,12868.12207,Max Coins x2,BuyWalletx2_C,SupraMap,in pan,Boss_Arena,,Belt & Event:MeatBag,,
Chest169,ChestItem,17640.16406,-15349.24512,968.7579346,Max Health +5,BuyHealth+5_C,SupraMap,Chest behind Candle,Desert2,,HeightIncrease3,,
Chest16_5090,ChestItem,-36853.71484,-37346.32813,735.1306152,Gun Altfire Damage x2,BuyGunAltDamagex2_C,SupraMap,on dirt ledge,Behind_Suprafield,,Stomp & (HeightIncrease5 or BuyForceCube_C),,
Chest170,ChestItem,23125.0625,-29122.08789,238.6454315,Max Health +5,BuyHealth+5_C,SupraMap,behind metal door,Red_Crystal,,Gun,,
Chest171_2,ChestItem,25197.79492,35811.74219,2307.26709,Health Regeneration +5,BuyHealthRegenMax5_C,SupraMap,beneath throne,Behind_Blueville,,HeightIncrease5,,
Chest172,ChestItem,8870.535156,-22882.77344,600.6342163,Sword Damage +1,BuySwordDamage+1_C,SupraMap,Chest near switch,Desert1,,HeightIncrease1,Desert2Access,
Chest17_812,ChestItem,24425,-25065,3995,Sword Damage +1,BuySwordDamage+1_C,SupraMap,at lever puzzle on tower,Red Crystal,,Coin225,,
Chest18_812,ChestItem,15830,-34330,4160.932617,Sword Damage +2,BuySwordDamage+02_C,SupraMap,On Hill next to pipe,Red Crystal,,HeightIncrease4,HeightIncrease6,
Chest19_6182,ChestItem,23511.66406,-16721.47461,643.7122803,Force Cube Telefrag,BuyForceBlockTelefrag_C,SupraMap,Behind Gate in yellow Cave,Red Crystal,,HeightIncrease3 & Health > 50,You can dodge the attack with a lot of health,
Chest2,ChestItem,9824.729492,-20440.51367,1035.530029,Sword Damage +1,BuySwordDamage+1_C,SupraMap,Chest behind steel fence,Desert2,,HeightIncrease2,,
Chest20_9041,ChestItem,3975.550049,-45484.55469,788.9455566,Max Health +5,BuyHealth+5_C,SupraMap,Chest behind Firepipe near Barrel,Desert1,,HeightIncrease,BuyTranslocator_C,
Chest21_10208,ChestItem,13052.90625,-36796.46484,1694.427979,Max Coins x2,BuyWalletx2_C,SupraMap,Chest in wood house roof,Red Crystal,,None,,"Maybe Softlock, Last Checkpoint maybe helps"
Chest22_11777,ChestItem,-3682.033936,-24074.88086,-2113.833252,Max Health +5,BuyHealth+5_C,SupraMap,Through fire pipe,Introduction,,RedPlankItems,Run,
Chest23_14291,ChestItem,29420.50195,-27703.71484,1701.313843,Sword Damage +1,BuySwordDamage+1_C,SupraMap,across level,Red Crystal,,HeightIncrease4,,
Chest24_16178,ChestItem,18011.08984,-29514.26172,-122.1167908,Regeneration Speed x2,BuyHealthRegenSpeed_C,SupraMap,Cooking Guy Kitchen,Red Crystal,,RedPlankItems,,
